Symbol,Company Name,,,,
BAJAJFINSV.NS,Bajaj Finserv Ltd.,,,,
BAJAJ-AUTO.NS,Bajaj Auto Limited,,,,
TECHM.NS,Tech Mahindra Limited,,,,
HDFCLIFE.NS,HDFC Life Insurance Company Limited,,,,
KOTAKBANK.NS,Kotak Mahindra Bank Limited,,,,
ADANIENT.NS,Adani Enterprises Limited,,,,
ICICIBANK.NS,ICICI Bank Limited,,,,
WIPRO.NS,Wipro Limited,,,,
NTPC.NS,NTPC Limited,,,,
BAJFINANCE.NS,Bajaj Finance Limited,,,,
TATASTEEL.NS,Tata Steel Limited,,,,
INDUSINDBK.NS,IndusInd Bank Limited,,,,
RELIANCE.NS,Reliance Industries Limited,,,,
TCS.NS,Tata Consultancy Services Limited,,,,
COALINDIA.NS,Coal India Limited,,,,
TATACONSUM.NS,Tata Consumer Products Limited,,,,
LT.NS,Larsen & Toubro Limited,,,,
CIPLA.NS,Cipla Limited,,,,
ULTRACEMCO.NS,UltraTech Cement Limited,,,,
HEROMOTOCO.NS,Hero MotoCorp Limited,,,,
TITAN.NS,Titan Company Limited,,,,
ITC.NS,ITC Limited,,,,
BRITANNIA.NS,Britannia Industries Limited,,,,
NESTLEIND.NS,Nestlé India Limited,,,,
ONGC.NS,Oil and Natural Gas Corporation Limited,,,,
MARUTI.NS,Maruti Suzuki India Limited,,,,
BHARTIARTL.NS,Bharti Airtel Limited,,,,
HINDALCO.NS,Hindalco Industries Limited,,,,
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,,,,
,,,,,
